ShippingMethodID,MethodName,Description,ShippingCost
1,give,Production star adult become.,23.01
2,race,In second else throw chance.,6.75
3,include,Owner fish success similar bag mention.,47.47
4,last,Doctor series three.,15.13
5,answer,Girl difficult thing forward could draw.,39.34
6,early,Young weight reflect pressure.,22.21
7,finally,Hope option choose country.,26.06
8,whose,Experience likely far garden mission just.,42.63
9,light,Single nature three why important control most.,25.11
10,health,Old suggest mother response respond letter.,8.67
11,paper,Free modern nearly future event program them scene.,9.1
12,answer,Past mention stay even there class power.,45.35
13,while,Past participant hit local indeed give.,42.69
14,room,Some according as poor rich fund party idea.,45.03
15,candidate,Technology interview provide human well.,48.65
16,small,Past nothing once second speech participant place party.,10.8
17,light,Over benefit short single bad.,8.25
18,general,Somebody various peace purpose apply.,30.03
19,week,Office night real Democrat big scientist determine ball.,12.45
20,the,Team large public plant similar stock.,49.32
21,treat,Every election candidate pay.,21.78
22,heart,Should find physical Mrs.,39.64
23,decade,And single company he.,37.27
24,student,Expert like citizen site imagine manage.,16.49
25,actually,One fast great operation bar bring defense western.,6.33
26,role,Find democratic car pattern language who recent a.,12.44
27,say,Success run have white.,27.72
28,our,Trial top opportunity difference rise.,36.5
29,professor,Local call hear state.,49.44
30,heavy,Bill heavy might church compare.,28.05
31,step,Long memory necessary nice increase ahead.,42.72
32,term,Almost bad leave member.,23.95
33,little,New good each institution after.,31.25
34,foreign,Great long receive box population why.,43.88
35,her,Race require store discussion site nearly.,48.82
36,vote,Society fill hand again.,47.17
37,bring,Drug discussion field factor economic toward option.,31.42
38,send,Health analysis everybody maybe mean.,16.39
39,true,Sign election will become present method act good.,22.18
40,writer,Old look reflect.,25.99
41,will,Size guy million.,13.09
42,test,Ahead treatment bring available respond writer likely.,44.16
43,old,Change Republican significant job president environment.,29.62
44,thing,Could firm discussion discuss around magazine enjoy letter.,9.76
45,easy,Or my eight eye.,47.97
46,behind,Seek rate send media.,15.75
47,film,Plan suggest impact model test I though.,29.69
48,break,Film least about eye card strategy hit.,7.19
49,bank,Put central record authority thought seem letter.,33.83
50,allow,Under whether school student role thousand daughter.,31.73
51,pull,Wrong over apply available.,12.61
52,wrong,Morning either worry company.,41.05
53,go,Increase democratic share stand himself model economy.,13.67
54,better,Picture down start despite house church believe.,5.78
55,glass,Statement way exist rise.,9.16
56,fast,Answer detail life those.,16.15
57,time,Recently among boy my too actually store message.,6.64
58,song,Success realize voice through wall western time control.,10.01
59,sit,Time smile feel process attention to stock.,10.38
60,condition,Great some improve party yeah.,10.37
61,message,Want technology east quite.,18.85
62,play,Family through event.,5.78
63,budget,Debate indeed air manage car these.,41.86
64,center,Pattern rate player contain different up.,7.04
65,before,Party garden growth federal born bad.,37.77
66,cup,Fund design while money look page.,33.95
67,animal,Stay girl treatment theory sing tell.,5.36
68,section,Here statement score color treatment forward eight item.,16.93
69,task,Hospital tell local stay class similar.,19.38
70,campaign,Community meeting air.,30.06
71,think,Go word let there reach.,49.26
72,director,Plan she try.,10.75
73,face,Organization mission whom wind mission.,33.13
74,now,For option doctor most despite.,21.64
75,large,Among western exactly exactly about.,17.47
76,respond,Century cause animal couple arm onto.,24.02
77,north,Enough record event off will wrong.,41.42
78,cell,Factor must former local deep.,15.12
79,late,Raise case arm hold compare food relate.,32.14
80,democratic,Capital create we deep southern pay high what.,41.2
81,wide,Who risk you service compare pick art.,23.12
82,vote,Pattern economy other relate.,8.56
83,enough,American support until best chance position.,18.14
84,every,Safe surface forget offer case by.,11.22
85,sister,Surface investment who both test.,36.89
86,the,Gun adult exactly ability.,49.18
87,run,Stock everything suddenly economy wide.,36.52
88,floor,Person fire through actually over season.,32.69
89,affect,Next least gas describe affect recognize instead.,22.74
90,traditional,Leader policy letter training indicate enjoy yes.,12.32
91,high,Network give thing production want.,5.24
92,just,Food part movie social.,32.26
93,special,Upon sort pick.,30.32
94,law,Pass group knowledge where increase party.,35.33
95,soldier,Test pattern poor citizen.,46.39
96,look,Rule both floor save deep meet environmental.,38.21
97,pay,Instead policy any industry.,45.18
98,attack,Group position some something her this bill.,35.24
99,person,Nothing camera book recognize.,12.58
100,health,Us specific improve measure account yes.,39.53
